" Select Shipping Method","Elegir método de envío"
"<br/>Trace confirmation request:<br/>%s","<br/>Seguimiento de la solicitud de confirmación:<br/>%s"
"Access Key","Clave de acceso"
"Access Key ID","ID de clave de acceso"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Notificación de error de Amazon Simple Pay"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Error en la confirmación de la captura por parte del servicio de Amazon Simple Pay: la cantidad de la solicitud de confirmación no es igual que la del pedido."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Captura del error en la confirmación del servicio de Amazon Simple Pay: la cantidad en la factura existente no se corresponde con la cantidad en la solicitud de confirmación."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Error en la confirmación de captura por parte del servicio de Amazon Simple Pay: el ID de la transacción existente no se corresponde con el ID de la transacción de la solicitud de confirmación."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Confirmación de captura del servicio Amazon Simple Pay. La factura se capturó automáticamente."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Error del servicio de confirmación de Amazon Simple Pay: violación en la secuencia del estado del pedido"
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Error en la confirmación por parte del servicio de Amazon Simple Pay: la divisa del pedido no se corresponde con la de la solicitud IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Error de confirmación del servicio de Amazon Simple Pay: no se encuentra el pedido especificado en la solicitud IPN."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Error del servicio de confirmación de Amazon Simple Pay: el método de pago del pedido no es Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","El servicio de Amazon Simple Pay ha confirmado la captura de la factura %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","El servicio de Amazon Simple Pay confirmó el reembolso de la nota de crédito %s."
"Amazon Simple Pay service has confirmed amount authorization.","El servicio Amazon Simple Pay ha confirmado la autorización del importe."
"Amazon Simple Pay service has confirmed cancelation.","El servicio de Amazon Simple Pay ha confirmado la cancelación."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","El servicio de Amazon Simple Pay ha confirmado que ha tomado la factura %s. La factura se ha capturado automáticamente."
"Amazon Simple Pay service has confirmed capture initiation.","El servicio Amazon Simple Pay ha confirmado la iniciación de la captura."
"Amazon Simple Pay service has confirmed capture.","El servicio de Amazon Simple Pay ha confirmado la captura."
