" Select Shipping Method","Wählen Sie die Versandart"
"<br/>Trace confirmation request:<br/>%s","<br/>Bestätigungsanfrage verfolgen:<br/>%s"
"Access Key","Zugriffsschlüssel"
"Access Key ID","Zugriffsschlüssel-ID"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Amazon Simple Pay Benachrichtigungsfehler"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Amazon Simple Pay Service Fehler bei der Bestätigung der Erfassung: Betrag der Bestätigungsanfrage entspricht nicht der Summe der Bestellung."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Amazon Simple Pay Service Fehler bei der Bestätigung der Erfassung: der Betrag der bestehenden Rechnung entspricht nicht dem Betrag in der Bestätigungsanfrage."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Amazon Simple Pay Service Fehler bei der Bestätigung der Erfassung: die bestehenden Transaktions-ID entspricht nicht der Transaktions-ID in der Bestätigungsanfrage."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Amazon Simple Pay Service Erfassungsbestätigung: Die Rechnung wurde automatisch erfasst."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Amazon Simple Pay Service Fehler bei der Bestätigung: Bestellung meldet Sequenzverletzung."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Amazon Simple Pay Service Fehler bei der Bestätigung: die Bestellungswährung entspricht nicht der Währung der IPN-Anfrage."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Amazon Simple Pay Service Fehler bei der Bestätigung: die in der IPN-Anforderung angegebene Bestellung kann nicht gefunden werden."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Amazon Simple Pay Service Fehler bei der Bestätigung: die Zahlungsart der Bestellung ist nicht Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","Amazon Simple Pay Service bestätigt die Erfassung von Rechnung %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Amazon Simple Pay Service hat die Erstattung für Gutschrift %s bestätigt."
"Amazon Simple Pay service has confirmed amount authorization.","Amazon Simple Pay Service hat Mengen-Autorisierung bestätigt."
"Amazon Simple Pay service has confirmed cancelation.","Amazon Simple Pay Service hat die Kündigung bestätigt."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Amazon Simple Pay Service hat die Erfassung der Rechnung %s bestätigt. Die Rechnung wurde automatisch erfasst."
"Amazon Simple Pay service has confirmed capture initiation.","Amazon Simple Pay Service hat die Einleitung der Erfassung bestätigt."
"Amazon Simple Pay service has confirmed capture.","Amazon Simple Pay Service hat die Erfassung bestätigt."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Amazon Simple Pay Service hat die Erfassung der Zahlung bestätigt. Rechnung %s wurde nach Bestätigung automatisch erstellt."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Amazon Simple Pay Service hat die Erfassung der Zahlung bestätigt. Rechnung wurde automatisch erstellt."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Amazon Simple Pay Service hat die Erstattung der Zahlung bestätigt. Gutschrift %s wurde nach Bestätigung automatisch erstellt."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Amazon Simple Pay Service hat die Erstattung der Zahlung bestätigt. Gutschrift wurde automatisch erstellt."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Amazon Simple Pay Service hat die Erstattung der Zahlung bestätigt. Die Gutschrift wurde automatisch erstellt."
"Amazon Simple Pay service has confirmed refund.","Amazon Simple Pay Service hat die Erstattung bestätigt."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Amazon Simple Pay Service hat die Erstattung bestätigt. Die Gutschrift wurde automatisch erstellt."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Amazon Simple Pay Service hat die Erstattung der Gutschrift %s bestätigt. Die Gutschrift wurde automatisch verarbeitet."
"Amazon Simple Pay service is not available. Payment was not processed.","Amazon Simple Pay Service ist nicht verfügbar. Zahlung wurde nicht bearbeitet."
"Amazon Simple Pay service payment confirmation has failed.","Amazon Simple Pay Service Zahlungsbestätigung ist fehlgeschlagen."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Amazon Simple Pay Service Fehler bei der Erstattungsbestätigung: der Betrag in der vorhandenen Gutschrift entspricht nicht dem Betrag in der Bestätigungsanfrage."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Amazon Simple Pay Service Fehler bei der Erstattungsbestätigung: der Betrag der Bestätigungsanfrage entspricht nicht dem Bestellbetrag."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Amazon Simple Pay Service Fehler bei der Erstattungsbestätigung: die Transaktions-ID in der vorhandenen Gutschrift entspricht nicht der Transaktions-ID in der Bestätigungsanfrage."
"Authorize Only","Nur genehmigen"
"Authorize and Capture","Genehmigen und erfassen"
"Cancel Description","Beschreibung abbrechen"
"Cancel Order Notification received from Checkout by Amazon service.","Löschen Sie die eingegangene Bestellbestätigung der Amazon Service-Kasse."
"Checkout by Amazon","Kasse von Amazon"
"Continue Shopping","Einkauf fortfahren"
"Customer was redirected to Amazon Simple Pay site","Kunde wurde auf die Amazon Simple Pay-Seite umgeleitet."
"Debug","Debug"
"Debug Log","Debug-Protokoll"
"Email Sender","E-Mail-Absender"
"Enable","Aktivieren"
"Error Log","Fehlerprotokoll"
"FPS Sandbox Service URI","FPS Sandbox Service URI"
"FPS Service URI","FPS Service URI"
"Immediate Return","Sofortige Rückgabe"
"Invalid action code.","Ungültiger Aktionscode."
"Invalid request.","Ungültige Anforderung."
"Invoice was created with Checkout by Amazon.","Rechnung wurde über die Kasse von Amazon erstellt."
"Merchant ID","Händler-ID"
"Merchant Login","Händler-Login"
"Merchant Name","Händlername"
"Merchant Password","Händler-Passwort"
"Merchant Token","Händler-Zeichen"
"Method Choice Checkout Message","Methodenwahl Checkout-Nachricht"
"New Order Notification received from Checkout by Amazon service.","Neue Bestellbenachrichtigung von der Amazon Service-Kasse."
"New Order Status","Neuer Bestellstatus"
"Notification Error Transactional Email","E-Mail-Benachrichtigung Transaktionsfehler"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Benachrichtigung von der Amazon Service-Kasse empfangen, dass Bestellung zum Versand bereit ist."
"Order was canceled with Checkout by Amazon.","Bestellung wurde von Amazon an der Kasse abgebrochen."
"Payment Action","Zahlungsaktion"
"Payment Description","Zahlungsbeschreibung"
"Payment Sandbox Service URI","Sandbox Zahlungsservice URI"
"Payment Service URI","Zahlungsservice URI"
"Payment authorization canceled with Amazon Simple Pay service.","Zahlungsermächtigung mit Amazon Simple Pay Service abgebrochen."
"Pending Amazon Simple Pay","Amazon Simple Pay ausstehend"
"Redirect Message","Umleitungsnachricht"
"Refund Description","Rückerstattungsbeschreibung"
"Refund was created with Checkout by Amazon.","Erstattung wurde mit der Kasse von Amazon erstellt."
"Report Email","E-Mail-Bericht"
"Report Error to Email","Fehler an E-Mail berichten"
"Response body is not a valid FPS response.","Antworttext ist keine gültige FPS-Antwort."
"SUCCESS","ERFOLG"
"Sandbox","Sandkasten"
"Secret Key","Geheimer Schlüssel"
"Secret Key ID","Geheime Schlüssel-ID"
"Shipment was created with Checkout by Amazon.","Sendung wurde über die Kasse von Amazon erstellt."
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","Der Kunde hat die Zahlung abgebrochen und wurde von der Amazon Simple Pay-Seite erfolgreich zurückgeleitet."
"The customer has successfully returned from Amazon Simple Pay site","Der Kunde wurde erfolgreich von der Amazon Simple Pay-Seite zurückgeleitet."
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","Die Rechnung wurde erstellt (Online-Erfassung). Warten auf Bestätigung der Erfassung von Amazon Simple Pay Service."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","Die Rechnung wurde nicht erstattet. Amazon Simple Pay Service-Fehler: [%s] %s"
"The item specified in callback request XML was not found in quote.","Das in der Rückrufbitte XML angegebene Element wurde nicht gefunden."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","Die Bestellung wurde nicht abgebrochen. Amazon Simple Pay Service-Fehler: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","Die Bestellung wurde nicht online erfasst. Autorisierungsbestätigung ist erforderlich."
"The order was not captured. Amazon Simple Pay service error: [%s] %s","Die Bestellung wurde nicht erfasst. Amazon Simple Pay Service-Fehler: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","Die Zahlung wurde mit Amazon Simple Pay Service online erfasst. Die Rechnung wurde erstellt. Warten auf Bestätigung der Erfassung vom Zahlungsdienstleister."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","Die Zahlung wurde mit Amazon Simple Pay Service online erstattet. Die Gutschrift wurde erstellt. Warten auf Bestätigung der Rückerstattung von Amazon Simple Pay Service."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","Die Zahlung wurde online erstattet. Warten auf Bestätigung der Rückerstattung von Amazon Simple Pay Service."
"The request is not a valid IPN request.","Der Antrag ist keine gültige IPN-Anforderung."
