" Select Shipping Method","Sélectionner la méthode d'expédition"
"<br/>Trace confirmation request:<br/>%s","<br/>Requête de suivi de confirmation : <br/>%s"
"Access Key","Clé d'accès"
"Access Key ID","Identifiant de la clé d'accès"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Erreur de notification Amazon Simple Pay"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Erreur de confirmation de saisie du service Amazon Simple Pay : le montant de la demande de confirmation n'est pas égal au montant de la commande."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Erreur de confirmation de saisie du service Amazon Simple Pay : le montant de la commande existante ne correspond pas au montant de la demande de confirmation."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Erreur de confirmation de saisie du service Amazon Simple Pay : l'identifiant de transaction existant ne correspond pas à l'identifiant de transaction de la requête de confirmation."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Confirmation de saisie du service Amazon Simple Pay. La facture a été saisie automatiquement."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Erreur de confirmation du service Amazon Simple Pay : violation de la séquence des états de commande."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Erreur de confirmation du service Amazon Simple Pay : la devise de la commande ne correspond pas à la devise de la requête IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Erreur de confirmation du service Amazon Simple Pay : la commande indiquée dans la requête IPN est introuvable."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Erreur de confirmation du service Amazon Simple Pay : la méthode de paiement de la commande n'est pas Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","Le service Amazon Simple Pay a confirmé la saisie pour la facture %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Le service Amazon Simple Pay a confirmé le remboursement pour la note de crédit %s."
"Amazon Simple Pay service has confirmed amount authorization.","Le service Amazon Simple Pay a confirmé l'autorisation du montant."
"Amazon Simple Pay service has confirmed cancelation.","Le service Amazon Simple Pay a confirmé l'annulation."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Le service Amazon Simple Pay a confirmé la saisie pour la facture %s. La facture a été saisie automatiquement."
"Amazon Simple Pay service has confirmed capture initiation.","Le service Amazon Simple Pay a confirmé le lancement de la saisie."
"Amazon Simple Pay service has confirmed capture.","Le service Amazon Simple Pay a confirmé la saisie."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Le service Amazon Simple Pay a confirmé la saisie du paiement. La facture %s a été créée automatiquement après la confirmation."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Le service Amazon Simple Pay a confirmé la saisie du paiement. La facture a été créée automatiquement."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Le service Amazon Simple Pay a confirmé le remboursement du paiement. La note de crédit %s a été créée automatiquement après la confirmation."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Le service Amazon Simple Pay a confirmé le remboursement du paiement. La note de crédit a été créée automatiquement."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Le service Amazon Simple Pay a confirmé le remboursement du paiement. La note de crédit a été créée automatiquement."
"Amazon Simple Pay service has confirmed refund.","Le service Amazon Simple Pay a confirmé le remboursement."
