" Select Shipping Method","Selecteer Verzendmethode"
"<br/>Trace confirmation request:<br/>%s","<br/>Traceer bevestigingsverzoek:<br/>%s"
"Access Key","Access Key"
"Access Key ID","Access Key ID"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Amazon Simple Pay notificatie fout"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Amazon Simple Pay Service ontvangst bevestiging error: verzoek tot bevestiging bedrag is niet gelijk aan het bedrag van de bestelling."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Amazon Simple Pay Service ontvangst bevestigingsfout: het bedrag in de bestaande factuur komt niet overeen met het bedrag in het confirmatie verzoek."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Amazon Simple Pay Service ontvangst bevestigingsfout: het bestaande transactie-ID komt  niet overeen met het transactie-ID in het verzoek om bevestiging."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Amazon Simple Pay Service ontvangst bevestiging. De factuur is automatisch vastgelegd."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Amazon Simple Pay Service confirmatie error: Vanwege volgorde overtreding."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Amazon Simple Pay Service bevestigingsfout: de valuta in de bestelling komt niet overeen met de valuta van het IPN verzoek."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Amazon Simple Pay Service bevestigingsfout: de bestelling vermeld in het IPN ​​verzoek kan niet worden gevonden."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Amazon Simple Pay Service bevestigingsfout: de betaalmethode in de bestelling is niet Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","Amazon Simple Pay Service bevestigd ontvangst van factuur %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Amazon Simple Pay Service bevestigd restitutie voor creditnota %s."
"Amazon Simple Pay service has confirmed amount authorization.","Amazon Simple Pay Service heeft het bevestigde bedrag geautoriseerd."
"Amazon Simple Pay service has confirmed cancelation.","Amazon Simple Pay Service heeft de annulering bevestigd."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Amazon Simple Pay Service heeft de betaling bevestigd voor factuur %s. De factuur werd automatisch opgemaakt."
"Amazon Simple Pay service has confirmed capture initiation.","Amazon Simple Pay Service heeft de vastgelegde initiatie bevestigd."
"Amazon Simple Pay service has confirmed capture.","Amazon Simple Pay Service heeft de betaling bevestigd."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Amazon Simple Pay Service heeft bevestigd dat de betaling is vastgelegd. Factuur %s is automatisch aangemaakt na bevestiging."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Amazon Simple Pay Service heeft bevestigd dat de betaling is vastgelegd. Factuur is automatisch aangemaakt."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Amazon Simple Pay Service heeft de terugbetaling restitutie bevestigd. Creditnota %s is automatisch aangemaakt na bevestiging."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Amazon Simple Pay Service heeft de terugbetaling restitutie bevestigd. De creditnota werd automatisch aangemaakt."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Amazon Simple Pay Service heeft de betaling restitutie bevestigd. De creditnota werd automatisch aangemaakt."
"Amazon Simple Pay service has confirmed refund.","Amazon Simple Pay Service heeft de terugbetaling bevestigd."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Amazon Simple Pay Service heeft de terugbetaling bevestigd. De creditnota werd automatisch verwerkt."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Amazon Simple Pay Service heeft de teruggestorte creditnota bevestigd %s. De creditnota werd automatisch verwerkt."
"Amazon Simple Pay service is not available. Payment was not processed.","Amazon Simple Pay service is niet beschikbaar. De betaling is niet verwerkt."
"Amazon Simple Pay service payment confirmation has failed.","Amazon Simple Pay Service betalingsbevestiging is mislukt."
